Amount Requested,Application Date,Loan Title,Risk_Score,Debt-To-Income Ratio,Zip Code,State,Employment Length,Policy Code
35000.0,2017-10-18,Debt consolidation,577.0,24.56%,935xx,CA,< 1 year,0.0
40000.0,2016-05-04,debt_consolidation,,51.4%,747xx,OK,,0.0
2000.0,2015-04-27,Debt consolidation,,6.48%,606xx,IL,10+ years,2.0
15000.0,2016-07-27,debt_consolidation,724.0,6.37%,295xx,SC,,0.0
15000.0,2015-04-17,Debt consolidation,,31.2%,325xx,FL,,0.0
27000.0,2016-08-27,other,,9.09%,554xx,MN,< 1 year,0.0
8000.0,2017-05-16,Debt consolidation,669.0,28.62%,302xx,GA,< 1 year,0.0
15000.0,2013-10-05,debt_consolidation,713.0,17.19%,074xx,NJ,< 1 year,0.0
15000.0,2009-07-20,Purchase,532.0,17.82%,080xx,NJ,2 years,0.0
20000.0,2016-01-27,other,,14.02%,820xx,WY,< 1 year,0.0
25000.0,2017-07-30,other,,134.02%,040xx,ME,< 1 year,0.0
1000.0,2018-05-02,Moving and relocation,,51.92%,920xx,CA,< 1 year,0.0
3000.0,2017-07-26,medical,,14.5%,761xx,TX,5 years,0.0
1500.0,2016-12-05,Other,501.0,44.48%,751xx,TX,< 1 year,0.0
10000.0,2018-06-12,Credit card refinancing,,44.87%,718xx,AR,< 1 year,0.0
8000.0,2013-05-10,debt_consolidation,512.0,10.16%,731xx,OK,< 1 year,0.0
20000.0,2015-04-03,debt_consolidation,,59.27%,115xx,NY,< 1 year,0.0
11500.0,2018-12-08,Credit card refinancing,,7.12%,770xx,TX,< 1 year,0.0
20000.0,2016-03-22,car,,61.25%,809xx,CO,< 1 year,0.0
20000.0,2018-04-22,Debt consolidation,,24.71%,233xx,VA,,0.0
7000.0,2017-08-31,small_business,,0%,639xx,MO,< 1 year,0.0
30000.0,2016-11-19,Debt consolidation,669.0,14.02%,480xx,MI,< 1 year,0.0
14000.0,2018-07-02,Debt consolidation,,26.84%,774xx,TX,< 1 year,0.0
10000.0,2015-02-03,debt_consolidation,662.0,12.07%,891xx,NV,< 1 year,0.0
7150.0,2018-12-08,Car financing,,100%,605xx,IL,< 1 year,0.0
17000.0,2018-08-04,Debt consolidation,,25.05%,294xx,SC,< 1 year,0.0
30000.0,2016-04-11,home_improvement,,11.55%,085xx,NJ,5 years,0.0
16000.0,2016-06-15,debt_consolidation,,14.63%,104xx,NY,< 1 year,0.0
22000.0,2017-12-21,Other,614.0,34.15%,775xx,TX,< 1 year,0.0
15000.0,2018-10-03,Credit card refinancing,,15.67%,802xx,CO,< 1 year,0.0
1200.0,2017-01-23,Other,539.0,34.2%,302xx,GA,< 1 year,0.0
10000.0,2018-11-16,Debt consolidation,,100%,461xx,IN,< 1 year,0.0
6000.0,2017-03-30,debt_consolidation,,12.61%,762xx,TX,5 years,0.0
15000.0,2016-02-07,Debt consolidation,,24.07%,917xx,CA,< 1 year,0.0
12000.0,2016-04-07,other,,37.09%,951xx,CA,< 1 year,0.0
1000.0,2017-12-19,Medical expenses,620.0,2.94%,765xx,TX,6 years,0.0
1500.0,2017-02-02,moving,,-1%,949xx,CA,5 years,0.0
35000.0,2015-04-23,debt_consolidation,,28.09%,627xx,IL,,0.0
1000.0,2017-05-22,Other,595.0,32.86%,104xx,NY,< 1 year,0.0
20000.0,2018-11-24,Credit card refinancing,,33.43%,553xx,MN,< 1 year,0.0
29000.0,2016-12-11,debt_consolidation,,19.28%,355xx,AL,5 years,0.0
15000.0,2016-03-28,debt_consolidation,,22.79%,010xx,MA,< 1 year,0.0
35000.0,2018-10-21,Credit card refinancing,,100%,770xx,TX,< 1 year,0.0
10000.0,2017-06-11,major_purchase,,0.61%,296xx,SC,5 years,0.0
10000.0,2018-12-10,Debt consolidation,,6.15%,782xx,TX,< 1 year,0.0
2500.0,2018-08-14,Debt consolidation,,30.83%,919xx,CA,< 1 year,0.0
7000.0,2018-10-20,Debt consolidation,,28.64%,767xx,TX,< 1 year,0.0
10000.0,2018-04-10,Debt consolidation,,5.38%,100xx,NY,< 1 year,0.0
1000.0,2015-11-05,medical,,17.84%,670xx,KS,< 1 year,0.0
1500.0,2014-06-23,car,567.0,0%,104xx,NY,< 1 year,0.0
5000.0,2018-10-10,Medical expenses,,1.3%,462xx,IN,< 1 year,0.0
20000.0,2015-07-02,debt_consolidation,,12.34%,100xx,NY,< 1 year,0.0
35000.0,2011-11-14,other,0.0,-1%,303xx,GA,< 1 year,0.0
10000.0,2015-04-17,Home buying,,15.82%,975xx,OR,10+ years,0.0
3000.0,2018-05-07,Debt consolidation,,59.86%,461xx,IN,< 1 year,0.0
15000.0,2018-03-22,Other,,30.54%,397xx,MS,< 1 year,0.0
15000.0,2016-03-15,debt_consolidation,628.0,18.96%,323xx,FL,< 1 year,0.0
21000.0,2018-12-06,Credit card refinancing,,43.69%,431xx,OH,< 1 year,0.0
15000.0,2018-07-25,Debt consolidation,,100%,700xx,LA,< 1 year,0.0
40000.0,2018-07-26,Debt consolidation,,16.72%,770xx,TX,< 1 year,0.0
20000.0,2017-05-31,Debt consolidation,685.0,13.93%,201xx,VA,< 1 year,0.0
1500.0,2016-11-28,other,,-1%,852xx,AZ,5 years,0.0
4000.0,2015-09-14,car,,-1%,280xx,NC,< 1 year,0.0
10000.0,2018-04-04,Other,,4.77%,923xx,CA,< 1 year,0.0
15000.0,2013-06-12,debt_consolidation,647.0,11.11%,906xx,CA,< 1 year,0.0
3000.0,2016-03-21,debt_consolidation,640.0,13.69%,853xx,AZ,< 1 year,0.0
2500.0,2018-05-22,Other,,19.11%,761xx,TX,< 1 year,0.0
15000.0,2018-10-04,Credit card refinancing,,40.09%,540xx,WI,< 1 year,0.0
13000.0,2016-08-22,home_improvement,,10.9%,131xx,NY,< 1 year,0.0
15000.0,2017-07-11,Debt consolidation,737.0,14.79%,341xx,FL,< 1 year,0.0
8000.0,2016-06-30,debt_consolidation,,28.14%,786xx,TX,< 1 year,0.0
10000.0,2013-12-10,moving,642.0,4.76%,958xx,CA,10+ years,0.0
35000.0,2016-08-18,other,,2.26%,201xx,VA,5 years,0.0
15000.0,2018-04-17,Debt consolidation,,33.94%,334xx,FL,1 year,0.0
35000.0,2016-06-13,credit_card,,10.95%,105xx,NY,5 years,0.0
15000.0,2017-11-20,Credit card refinancing,573.0,14.4%,232xx,VA,< 1 year,0.0
10000.0,2017-10-08,major_purchase,,11.85%,954xx,CA,,0.0
6000.0,2017-03-16,car,,58.94%,404xx,KY,5 years,0.0
12000.0,2017-06-18,Debt consolidation,675.0,18.36%,891xx,NV,10+ years,0.0
1500.0,2018-03-08,Other,,0%,109xx,NY,< 1 year,0.0
90000.0,2018-02-06,Business Loan,,-1%,341xx,FL,< 1 year,0.0
22000.0,2018-12-26,Credit card refinancing,,100%,558xx,MN,< 1 year,0.0
6525.0,2017-04-28,Debt consolidation,665.0,0%,104xx,NY,< 1 year,0.0
40000.0,2017-11-09,Debt consolidation,623.0,21.88%,461xx,IN,< 1 year,0.0
40000.0,2018-09-14,Debt consolidation,,44.45%,330xx,FL,< 1 year,0.0
1000.0,2014-11-08,medical,512.0,6.48%,314xx,GA,< 1 year,0.0
2000.0,2016-01-13,home_improvement,,49.55%,775xx,TX,< 1 year,0.0
10000.0,2018-10-05,Major purchase,,7.44%,342xx,FL,5 years,0.0
1000.0,2018-03-11,Home buying,,3.1%,761xx,TX,< 1 year,0.0
5000.0,2017-03-01,credit_card,,29.76%,900xx,CA,5 years,0.0
1000.0,2015-10-15,other,,0%,115xx,NY,< 1 year,0.0
1500.0,2018-08-22,Debt consolidation,,6.53%,951xx,CA,< 1 year,0.0
1000.0,2017-01-24,medical,,-1%,922xx,CA,< 1 year,0.0
1200.0,2014-08-02,home_improvement,,-1%,609xx,IL,< 1 year,0.0
10000.0,2017-08-09,Debt consolidation,613.0,27.26%,920xx,CA,< 1 year,0.0
2500.0,2017-10-19,Other,746.0,0.79%,850xx,AZ,< 1 year,0.0
10000.0,2017-02-07,Debt consolidation,694.0,46.28%,112xx,NY,< 1 year,0.0
8000.0,2018-12-05,Other,,16.48%,973xx,OR,< 1 year,0.0
5000.0,2017-08-08,credit_card,,104.43%,926xx,CA,5 years,0.0
2100.0,2012-05-14,other,699.0,6.72%,194xx,PA,< 1 year,0.0
12000.0,2018-07-08,Other,602.0,0%,129xx,NY,< 1 year,0.0
25000.0,2009-07-05,Extreme need!!,639.0,0%,296xx,SC,< 1 year,0.0
10000.0,2016-04-13,debt_consolidation,,14.81%,282xx,NC,5 years,0.0
3000.0,2016-06-16,car,,56.98%,551xx,MN,< 1 year,0.0
10000.0,2017-06-12,debt_consolidation,,41.17%,908xx,CA,< 1 year,0.0
10000.0,2017-06-21,debt_consolidation,,31.6%,225xx,VA,< 1 year,0.0
16500.0,2018-08-05,Debt consolidation,,14.53%,229xx,VA,< 1 year,0.0
7000.0,2015-05-29,debt_consolidation,,40.59%,857xx,AZ,< 1 year,0.0
35000.0,2014-07-29,small_business,678.0,13.44%,315xx,GA,< 1 year,0.0
1900.0,2018-04-02,Other,,33.88%,843xx,UT,< 1 year,0.0
3000.0,2018-06-16,Debt consolidation,,24.53%,481xx,MI,< 1 year,0.0
5000.0,2014-04-22,debt_consolidation,663.0,34.48%,802xx,CO,< 1 year,0.0
2875.0,2016-11-21,Home improvement,754.0,16.4%,328xx,FL,< 1 year,0.0
7000.0,2015-09-25,debt_consolidation,,15.26%,232xx,VA,< 1 year,0.0
3000.0,2017-06-06,debt_consolidation,,0.9%,467xx,IN,2 years,0.0
1000.0,2017-08-20,other,,1637.2%,921xx,CA,< 1 year,0.0
9000.0,2015-07-22,credit_card,,19.08%,287xx,NC,< 1 year,0.0
2500.0,2017-06-14,debt_consolidation,,25.83%,762xx,TX,5 years,0.0
1200.0,2013-08-21,other,681.0,2.93%,945xx,CA,< 1 year,0.0
1000.0,2018-10-10,Other,,1.5%,951xx,CA,< 1 year,0.0
23000.0,2017-03-20,debt_consolidation,,36.77%,298xx,SC,< 1 year,0.0
3000.0,2018-06-15,Other,,5.62%,775xx,TX,< 1 year,0.0
15000.0,2016-03-08,debt_consolidation,,18.75%,973xx,OR,< 1 year,0.0
35000.0,2018-08-26,Credit card refinancing,,11.93%,070xx,NJ,< 1 year,0.0
4000.0,2017-04-28,other,,48.78%,303xx,GA,< 1 year,0.0
2500.0,2018-12-29,Debt consolidation,,19.48%,212xx,MD,< 1 year,0.0
10000.0,2018-12-05,Credit card refinancing,,40.98%,370xx,TN,< 1 year,0.0
1000.0,2014-05-09,major_purchase,604.0,6.4%,297xx,SC,< 1 year,0.0
35000.0,2015-08-09,credit_card,,455.36%,917xx,CA,< 1 year,0.0
6000.0,2017-01-16,Debt consolidation,553.0,6.92%,077xx,NJ,< 1 year,0.0
16000.0,2014-07-17,Debt consolidation,691.0,16.74%,190xx,PA,10+ years,0.0
15000.0,2018-01-16,Debt consolidation,655.0,12.79%,271xx,NC,< 1 year,0.0
25000.0,2015-09-24,debt_consolidation,,18.99%,607xx,IL,< 1 year,0.0
10000.0,2015-02-18,credit_card,614.0,16.8%,608xx,IL,< 1 year,0.0
2000.0,2018-09-17,Other,,31.45%,328xx,FL,< 1 year,0.0
10000.0,2017-01-23,Home improvement,,100%,321xx,FL,< 1 year,0.0
8000.0,2016-10-10,debt_consolidation,,29.86%,891xx,NV,< 1 year,0.0
5000.0,2013-08-14,other,645.0,8.61%,134xx,NY,< 1 year,0.0
10000.0,2018-08-27,Other,,1.3%,481xx,MI,< 1 year,0.0
13000.0,2017-09-28,car,,20.4%,153xx,PA,< 1 year,0.0
10000.0,2018-08-12,Home buying,,24%,130xx,NY,< 1 year,0.0
10000.0,2017-08-09,Debt consolidation,579.0,24.23%,601xx,IL,< 1 year,0.0
24000.0,2013-12-09,credit_card,722.0,31.85%,199xx,DE,< 1 year,0.0
17500.0,2016-07-03,credit_card,,37.62%,781xx,TX,< 1 year,0.0
20000.0,2015-07-29,Business Loan,,-1%,327xx,FL,< 1 year,0.0
5000.0,2018-12-01,Other,690.0,2.45%,935xx,CA,< 1 year,0.0
5000.0,2015-02-11,other,817.0,4.17%,846xx,UT,< 1 year,0.0
1000.0,2016-05-18,debt_consolidation,,3.3%,648xx,MO,< 1 year,0.0
6500.0,2015-02-18,credit_card,658.0,17.96%,720xx,AR,< 1 year,0.0
14000.0,2016-11-09,credit_card,,37.06%,904xx,CA,5 years,0.0
15000.0,2016-01-22,debt_consolidation,,-1%,377xx,TN,< 1 year,0.0
6000.0,2014-03-25,debt_consolidation,661.0,39.83%,303xx,GA,< 1 year,0.0
20000.0,2016-12-09,debt_consolidation,,48.72%,131xx,NY,< 1 year,0.0
25000.0,2016-06-25,debt_consolidation,,67.64%,069xx,CT,< 1 year,0.0
35000.0,2015-04-20,car,,8.24%,958xx,CA,< 1 year,0.0
8000.0,2017-06-02,other,,32.26%,951xx,CA,< 1 year,0.0
5000.0,2015-06-07,renewable_energy,,-1%,685xx,IL,< 1 year,0.0
10000.0,2017-12-04,Home improvement,501.0,30.21%,611xx,IL,< 1 year,0.0
1200.0,2018-01-02,Other,600.0,51.94%,780xx,TX,< 1 year,0.0
3000.0,2017-11-14,Other,692.0,12.74%,490xx,MI,< 1 year,0.0
2500.0,2016-07-18,other,,16.49%,236xx,VA,,0.0
4000.0,2015-05-21,debt_consolidation,,38.83%,388xx,MS,< 1 year,0.0
2500.0,2015-12-26,other,,-1%,967xx,HI,5 years,0.0
15000.0,2017-07-11,debt_consolidation,,28.26%,480xx,MI,< 1 year,0.0
40000.0,2016-08-04,debt_consolidation,,25.36%,451xx,OH,< 1 year,0.0
2000.0,2018-05-21,Debt consolidation,,0%,230xx,VA,< 1 year,0.0
20000.0,2016-03-03,debt_consolidation,,35.6%,670xx,KS,< 1 year,0.0
6000.0,2018-04-23,Credit card refinancing,,50.3%,320xx,FL,< 1 year,0.0
35000.0,2018-08-30,Debt consolidation,,32.38%,285xx,NC,5 years,0.0
6000.0,2017-02-17,other,,0%,335xx,FL,< 1 year,0.0
150000.0,2017-01-25,Business Loan,,-1%,936xx,CA,< 1 year,0.0
5000.0,2016-04-07,home_improvement,,10.32%,283xx,NC,< 1 year,0.0
15000.0,2018-03-20,Debt consolidation,,11.4%,282xx,NC,< 1 year,0.0
10000.0,2017-11-18,Debt consolidation,630.0,29.36%,924xx,CA,< 1 year,0.0
5000.0,2017-10-24,debt_consolidation,,4.69%,953xx,CA,< 1 year,0.0
5000.0,2016-04-04,moving,,-1%,498xx,MI,< 1 year,0.0
6000.0,2017-01-05,Debt consolidation,590.0,21.81%,955xx,CA,< 1 year,0.0
1300.0,2018-08-11,Medical expenses,,245.33%,373xx,TN,< 1 year,0.0
10000.0,2016-07-21,debt_consolidation,,24.41%,401xx,KY,5 years,0.0
15000.0,2018-12-19,Debt consolidation,,11.97%,371xx,TN,< 1 year,0.0
35000.0,2013-12-14,small_business,575.0,1.36%,640xx,MO,< 1 year,0.0
10000.0,2018-07-10,Debt consolidation,,4.3%,113xx,NY,< 1 year,0.0
8000.0,2016-11-27,debt_consolidation,,4.84%,373xx,TN,5 years,0.0
2500.0,2016-12-14,debt_consolidation,,12.69%,956xx,CA,< 1 year,0.0
20000.0,2015-06-22,Business Loan,,-1%,359xx,AL,< 1 year,0.0
15000.0,2015-07-14,debt_consolidation,,19.25%,330xx,FL,< 1 year,0.0
7000.0,2018-09-03,Debt consolidation,,13.51%,283xx,NC,< 1 year,0.0
15000.0,2018-10-16,Debt consolidation,,13.28%,767xx,TX,< 1 year,0.0
25000.0,2018-10-11,Home improvement,,4.17%,141xx,NY,< 1 year,0.0
5800.0,2014-09-18,debt_consolidation,728.0,18.53%,805xx,CO,< 1 year,0.0
1000.0,2014-04-13,other,548.0,1.38%,236xx,VA,< 1 year,0.0
31000.0,2018-11-25,Credit card refinancing,,21.7%,838xx,ID,< 1 year,0.0
5000.0,2018-06-13,Credit card refinancing,,5.4%,328xx,FL,< 1 year,0.0
35000.0,2016-08-24,debt_consolidation,727.0,24.58%,105xx,NY,< 1 year,0.0
1000.0,2017-10-28,Debt consolidation,571.0,24.77%,719xx,AR,< 1 year,0.0
25000.0,2016-03-31,debt_consolidation,,3.4%,330xx,FL,< 1 year,0.0
3000.0,2013-11-02,other,570.0,89.33%,190xx,PA,< 1 year,0.0
10000.0,2018-07-16,Debt consolidation,,15.56%,669xx,KS,< 1 year,0.0
10000.0,2016-04-07,moving,,96.54%,225xx,VA,< 1 year,0.0
40000.0,2018-02-19,Debt consolidation,,14.22%,207xx,MD,< 1 year,0.0
4500.0,2015-04-03,major_purchase,,3.02%,971xx,CA,< 1 year,0.0
12000.0,2016-10-11,debt_consolidation,,50.51%,970xx,OR,< 1 year,0.0
5000.0,2014-07-21,vacation,573.0,9.34%,554xx,MN,< 1 year,0.0
10000.0,2014-08-16,other,,-1%,786xx,TX,< 1 year,0.0
25000.0,2018-11-21,Other,,19.97%,152xx,PA,< 1 year,0.0
4000.0,2018-01-15,Major purchase,678.0,40.17%,740xx,OK,< 1 year,0.0
8000.0,2016-09-30,credit_card,,74.75%,301xx,GA,,0.0
1000.0,2018-08-14,Debt consolidation,,14.81%,540xx,WI,< 1 year,0.0
2000.0,2018-11-23,Other,,34.03%,073xx,NJ,< 1 year,0.0
3000.0,2016-08-16,moving,,16.91%,122xx,NY,< 1 year,0.0
10000.0,2015-07-15,debt_consolidation,,9.26%,799xx,TX,< 1 year,0.0
8000.0,2018-08-02,Debt consolidation,,17.57%,752xx,TX,< 1 year,0.0
7000.0,2017-01-01,debt_consolidation,,41.07%,549xx,WI,< 1 year,0.0
15000.0,2018-04-16,Debt consolidation,,25.85%,913xx,CA,< 1 year,0.0
15000.0,2018-10-14,Debt consolidation,,100%,897xx,NV,< 1 year,0.0
17000.0,2018-06-07,Other,,22.52%,062xx,CT,< 1 year,0.0
1000.0,2017-02-11,other,,40.96%,985xx,WA,,0.0
6000.0,2016-01-16,car,,-1%,950xx,CA,5 years,0.0
18000.0,2018-11-27,Debt consolidation,,32.46%,860xx,AZ,< 1 year,0.0
30000.0,2016-08-28,credit_card,,19.82%,443xx,OH,5 years,0.0
15000.0,2015-07-14,debt_consolidation,,14.53%,435xx,OH,< 1 year,0.0
5000.0,2016-08-19,debt_consolidation,,1.2%,113xx,NY,< 1 year,0.0
10000.0,2016-03-25,car,,0%,191xx,PA,5 years,0.0
10000.0,2016-11-30,other,,-1%,120xx,NY,,0.0
7000.0,2018-08-06,Other,,6.96%,937xx,CA,< 1 year,0.0
21100.0,2017-11-29,Car financing,665.0,100%,850xx,AZ,5 years,0.0
10000.0,2016-04-29,debt_consolidation,730.0,45.13%,337xx,FL,< 1 year,0.0
16000.0,2017-01-12,Debt consolidation,706.0,17.62%,841xx,UT,< 1 year,0.0
10000.0,2018-11-20,Medical expenses,,0%,704xx,LA,< 1 year,0.0
14000.0,2017-01-29,Debt consolidation,573.0,51.6%,442xx,OH,< 1 year,0.0
10000.0,2018-10-28,Credit card refinancing,,1.5%,201xx,VA,< 1 year,0.0
35000.0,2017-09-15,Debt consolidation,642.0,19.73%,983xx,WA,< 1 year,0.0
10000.0,2017-10-13,debt_consolidation,,0.69%,351xx,AL,,0.0
3500.0,2018-10-24,Debt consolidation,,24.07%,494xx,MI,< 1 year,0.0
4000.0,2018-10-05,Other,,100%,600xx,IL,< 1 year,0.0
5000.0,2017-01-25,Major purchase,614.0,2.48%,554xx,MN,< 1 year,0.0
15000.0,2017-09-10,Debt consolidation,663.0,22.62%,720xx,AR,< 1 year,0.0
1000.0,2017-01-25,other,,-1%,370xx,TN,,0.0
20000.0,2014-05-02,Home improvement,763.0,25.23%,609xx,IL,5 years,0.0
23200.0,2015-09-20,Business Loan,,-1%,152xx,PA,< 1 year,0.0
6000.0,2017-05-31,Debt consolidation,575.0,51.95%,985xx,WA,< 1 year,0.0
10000.0,2015-11-16,credit_card,,25.19%,113xx,NY,< 1 year,0.0
1000.0,2017-07-31,debt_consolidation,,1.04%,359xx,AL,,0.0
10000.0,2017-05-26,credit_card,,13.34%,296xx,SC,5 years,0.0
5000.0,2016-03-23,debt_consolidation,,14.57%,748xx,OK,< 1 year,0.0
10000.0,2013-05-12,other,649.0,22.02%,370xx,TN,< 1 year,0.0
10000.0,2018-10-14,Other,,21.91%,640xx,MO,< 1 year,0.0
5000.0,2016-04-02,debt_consolidation,,10.89%,152xx,PA,< 1 year,0.0
2000.0,2017-10-19,other,,8.47%,631xx,MO,< 1 year,0.0
